Country1,Country2,Score1,Score2,Goals1,Times1,Goals2,Times2,Time,Date,Stadium,Attendance,Round,Referee,ExtraTime
Switzrland,Germany,1,1,André Abegglen,43,"Josef Gauchel,Hans Pesser_RC","29,96",16:00,04/06/1938,Parc des Princes,27152,Round of 16,Jean Langenus,Y
Cuba,Romania,3,3,"Héctor Socorro,José Magriñá,Héctor Socorro","44,69,103","Silviu Bindea,Iuliu Barátky,Ștefan Dobay","35,88,105",16:00,05/06/1938,Stade Municipal,7000,Round of 16,Giuseppe Scarpi,Y
Hungary,Dutch East Indies,6,0,"Vilmos Kohut,Géza Toldi,György Sárosi,Gyula Zsengellér,Gyula Zsengellér,György Sárosi","13,15,28,35,76,89",,,16:00,05/06/1938,Vélodrome Municipal,9000,Round of 16,Roger Conrie,N
