Country1,Country2,Score1,Score2,Goals1,Times1,Goals2,Times2,Time,Date,Stadium,Attendance,Round,Referee,ExtraTime
China PR,Norway,4,0,"Ma Li,Liu Ailing,Liu Ailing,Sun Qingmei","22,45,50,75",,,12:45,16/11/1991,Tianhe Stadium,65000,Group Stage,Salvador Imperatore Marcone,N
Germany,Nigeria,4,0,"Silvia Neid,Heidi Mohr,Heidi Mohr,Gudrun Gottschlich","16,32,34,57",,,07:30,17/11/1991,Jiangmen Stadium,14000,Group Stage,Rafael Rodriguez,N
Japan,Brazil,0,1,,,Elane Rego dos Santos,4,11:45,17/11/1991,New Plaza Stadium,14000,Group Stage,Lu Jun,N
Chinese Taipei,Italy,0,5,,,"Feriana Ferraguzzi,Adele Marsiletti,Carolina Morace,Carolina Morace,Carolina Morace","15,29,37,52,66",11:45,17/11/1991,Jiangmen Stadium,11000,Group Stage,Fathi Boucetta,N
Denmark,New Zealand,3,0,"Helle Jensen,Helle Jensen,Susan Mackensie","15,40,42",,,11:45,17/11/1991,Tianhe Stadium,14000,Group Stage,Omer Yengo,N
Sweden,United States,2,3,"Lena Videkull,Ingrid Johansson","65,71","Carin Jennings-Gabarra,Carin Jennings-Gabarra,Mia Hamm","40,49,62",11:45,17/11/1991,Ying Tung Stadium,14000,Group Stage,John Toro Rendón,N
Norway,New Zealand,4,0,"Terry McCahill_OG,Linda Medalen,Linda Medalen,Hege Riise","30,32,38,49",,,07:30,19/11/1991,Guangdong Provincial Stadium,12000,Group Stage,Salvador Imperatore Marcone,N
Italy,Nigeria,1,0,Carolina Morace,68,,,07:30,19/11/1991,Zhongshan Stadium,12000,Group Stage,Jim McCluskey,N
China PR,Denmark,2,2,"Sun Wen,Wei Haiying","37,76","Lisbet Kolding,Hanne Nissen","24,55",11:45,19/11/1991,Guangdong Provincial Stadium,27000,Group Stage,Vassilios Nikakis,N
Brazil,United States,0,5,,,"April Heinrichs,April Heinrichs,Carin Jennings-Gabarra,Michelle Akers,Mia Hamm","23,35,38,39,63",11:45,19/11/1991,Ying Tung Stadium,15500,Group Stage,Vadim Zhuk,N
Japan,Sweden,0,8,,,"Lena Videkull,Lena Videkull,Anneli Andelén,Malin Lundgren,Helen Nilsson,Pia Sundhage,Anneli Andelén,Sayuri Yamaguchi_OG","1,11,15,25,27,34,60,70",11:45,19/11/1991,New Plaza Stadium,14000,Group Stage,Gyanu Shrestha,N
Chinese Taipei,Germany,0,3,,,"Bettina Wiegmann_P,Heidi Mohr,Heidi Mohr","10,21,50",11:45,19/11/1991,Zhongshan Stadium,10000,Group Stage,Fathi Boucetta,N
Japan,United States,0,3,,,"Michelle Akers,Michelle Akers,Wendy Gebauer","20,37,39",07:30,21/11/1991,New Plaza Stadium,14000,Group Stage,John Toro Rendón,N
Brazil,Sweden,0,2,,,"Pia Sundhage_P,Susanne Hedberg","42,56",07:30,21/11/1991,Ying Tung Stadium,12000,Group Stage,Lu Jun,N
Chinese Taipei,Nigeria,2,0,"Lin Hui-fang_RC,Lin Mei-chun,Chou Tai-ying","6,38,55",,,11:45,21/11/1991,Jiangmen Stadium,14000,Group Stage,Rafael Rodriguez,N
China PR,New Zealand,4,1,"Zhou Yang,Liu Ailing,Wu Weiying,Liu Ailing","20,22,24,60",Kim Nye,65,11:45,21/11/1991,New Plaza Stadium,14000,Group Stage,Gyanu Shrestha,N
Norway,Denmark,2,1,"Tina Svensson_P,Linda Medalen","14,56",Annette Thychosen_P,54,11:45,21/11/1991,Ying Tung Stadium,15500,Group Stage,Vadim Zhuk,N
Italy,Germany,0,2,,,"Heidi Mohr,Britta Unsleber","67,79",11:45,21/11/1991,Zhongshan Stadium,12000,Group Stage,Jim McCluskey,N
Germany,Denmark,2,1,"Bettina Wiegmann_P,Heidi Mohr","17,98",Susan Mackensie_P,25,07:30,24/11/1991,Zhongshan Stadium,12000,Quarter-final,Vassilios Nikakis,Y
Norway,Italy,3,2,"Birthe Hegstad,Agnete Carlsen,Tina Svensson_P","22,67,96","Raffaella Salmaso,Rita Guarino","31,80",11:45,24/11/1991,Jiangmen Stadium,13000,Quarter-final,Rafael Rodriguez,Y
United States,Chinese Taipei,7,0,"Michelle Akers,Michelle Akers,Michelle Akers,Julie Foudy,Michelle Akers_P,Michelle Akers,Joy Fawcett","8,29,33,38,44,48,79",,,11:45,24/11/1991,New Plaza Stadium,12000,Quarter-final,Omer Yengo,N
China PR,Sweden,0,1,,,Pia Sundhage,3,11:45,24/11/1991,Tianhe Stadium,55000,Quarter-final,John Toro Rendón,N
Sweden,Norway,1,4,Lena Videkull,6,"Tina Svensson_P,Linda Medalen,Agnete Carlsen,Linda Medalen","39,41,67,77",07:30,27/11/1991,Ying Tung Stadium,16000,Semi-final,Jim McCluskey,N
United States,Germany,5,2,"Carin Jennings-Gabarra,Carin Jennings-Gabarra,Carin Jennings-Gabarra,April Heinrichs,April Heinrichs","10,22,33,54,75","Heidi Mohr,Bettina Wiegmann","34,63",11:45,27/11/1991,Guangdong Provincial Stadium,20000,Semi-final,Salvador Imperatore Marcone,N
Sweden,Germany,4,0,"Anneli Andelén,Pia Sundhage,Lena Videkul1,Helen Nilsson","7,11,29,43",,,11:45,29/11/1991,Guangdong Provincial Stadium,20000,Third place match,Cláudia Vasconcelos,N
United States,Norway,2,1,"Michelle Akers,Michelle Akers","20,78",Linda Medalen,29,11:45,30/11/1991,Tianhe Stadium,63000,Final,Vadim Zhuk,N
